Temp,RH,NO2,NO,O3,SO2,PM2.5,Benzene,Toluene,CO,Xylene,NH3,PM10,target
13.6,48.9,113,125,1268,27.64,73.24,168,0,2.6,2,2,141.54,0
13.3,47.7,92,140,972,24.55,83.13,155,1,2,0,0,122.41,0
11.9,54,114,145,1074,29.07,79.84,125,1,2.2,0,0,116.32,0
11,60,122,148,1203,18.59,94.52,161,0,2.2,2,1,130.07,0
11.2,59.6,116,138,1110,39.33,135.99,106,0,1.6,1,3,138.31,0
11.2,59.2,96,100,949,45.76,178.33,122,0,1.2,1,0,111.73,1
11.3,56.8,77,114,733,32.28,139.7,140,0,1.2,0,3,118.65,0
10.7,60,76,160,730,38.54,80.65,145,1,1,1,1,103.88,0
10.7,59.7,60,120,620,58.68,58.36,144,0,0.9,2,0,103.3,0
10.3,60.2,-200,122,501,8.29,79.29,116,1,0.6,1,2,135.65,0
10.1,60.5,34,112,445,25.03,88.7,125,0,-200,1,0,148,1
11,56.2,28,132,422,51.84,74.28,136,1,0.7,1,0,156.97,0
10.5,58.1,48,118,472,68.21,113.93,192,0,0.7,2,0,177.87,1
10.2,59.6,82,140,730,52.65,105.39,122,1,1.1,1,3,163.36,0
10.8,57.4,112,128,1102,28.89,66.52,156,1,2,1,0,156.63,0
10.5,60.6,101,118,1028,38.27,65.04,192,0,2.2,2,0,140.66,1
10.8,58.4,98,140,860,49.5,103.36,142,0,1.7,2,1,153.69,1
10.5,57.9,92,124,671,48.43,177.33,109,1,1.5,1,1,136.34,0
9.5,66.8,95,120,664,50.03,113.25,162,0,1.6,2,0,142.06,1
8.3,76.4,112,140,799,58.87,99.7,165,0,1.9,2,0,119.91,1
8,81.1,128,140,1037,106.93,80.61,155,0,2.9,1,0,134.2,0
8.3,79.8,126,106,946,23.71,100.79,142,0,2.2,2,2,117.51,1
9.7,71.2,131,104,957,39.19,107.99,148,1,2.2,1,0,113.84,1
9.8,67.6,135,135,1104,40.07,140.29,172,0,2.9,2,0,127.56,1
10.3,64.2,151,120,1409,58.41,239.96,173,0,4.8,1,0,124.01,1
9.7,69.3,172,145,1704,43.73,142.96,146,1,6.9,1,0,135.9,0
9.6,67.8,165,130,1654,43.28,238.41,179,1,6.1,2,0,120.77,1
9.1,64,136,136,1285,36.52,118.72,152,0,3.9,2,2,115.46,0
8.2,63.4,85,130,821,49.52,52.99,142,1,1.5,1,1,107.59,0
8.2,60.8,53,180,552,48.49,61.12,117,1,1,1,0,156.33,0
8.3,58.5,97,120,816,67.39,60.78,144,1,1.7,0,0,77.07,0
7.7,59.7,110,120,832,75.23,91.83,162,0,1.9,2,0,103.12,1
7.1,61.8,91,130,692,55.04,93.88,115,1,1.4,1,1,96.84,0
7,62.3,-200,160,512,33.79,173.01,112,1,0.8,1,1,107.15,0
6.1,65.9,32,129,384,25.73,105.45,163,0,-200,2,0,104.64,1
6.3,65,44,150,394,32.66,71.56,147,0,0.6,1,0,72.7,0
6.8,62.9,71,125,487,67.41,119.8,125,1,0.8,2,1,171.87,1
6.4,65.1,104,138,748,80.09,106.71,182,0,1.4,2,0,125.62,1
7.3,63.1,141,128,1400,54.28,118.49,105,1,4.4,1,1,103.64,1
9.2,56.2,-200,128,1588,48.73,106.01,150,0,-200,1,1,152.67,0
13.2,41.7,122,160,1237,35.91,97.34,151,0,3.1,2,0,102.66,1
14.3,38.4,143,120,1167,66.58,83.92,147,0,2.7,1,0,115.42,1
15,36.5,113,130,959,65.91,49.51,169,0,2.1,2,0,97.91,0
16.1,34.5,116,120,983,80.43,30.76,144,0,2.5,2,0,136.54,0
16.3,35.7,123,132,1061,99.72,50.29,166,0,2.7,2,0,109.4,1
15.8,37,126,140,1139,69.71,57.69,178,0,2.9,2,0,102.77,1
15.9,37.2,120,135,1112,73.23,105.06,132,0,2.8,1,0,112.5,1
16.9,34.3,119,178,994,54.7,94.1,165,1,2.4,1,2,117.3,0
15.1,39.6,149,146,1410,43.11,111.89,152,0,3.9,1,1,104.74,1
14.4,43.4,145,117,1448,84.86,108.59,160,1,3.7,2,2,114.84,0
12.9,50.5,170,150,1887,101.53,130.76,162,0,6.6,2,0,96.61,1
12.1,53.3,149,140,1627,84.87,143.55,123,1,4.4,1,0,102.68,0
11,59.1,139,138,1491,62.96,165.07,173,0,3.5,2,4,116.88,1
9.7,64.6,134,120,1657,89.07,166.85,139,0,5.4,1,3,100.89,0
9.5,64.1,113,140,1285,61.54,147.38,111,1,2.7,0,0,80.67,0
9.1,63.9,97,140,1144,32.76,158.25,111,1,1.9,0,0,113.3,0
8.8,63.9,82,120,1043,28.44,237.76,162,0,1.6,1,0,120.12,1
7.8,67.5,-200,130,996,29.48,133.37,180,0,1.7,1,0,128.97,1
7,71.1,83,152,992,39.71,133.3,150,0,-200,1,0,116.84,0
8.3,63.6,65,154,819,62.75,96.04,164,0,1,2,1,109.2,0
7.2,67.5,60,130,835,78.76,77.69,202,0,1.2,2,0,101.6,1
6.3,71.9,77,146,940,29.29,53.07,152,0,1.5,1,1,109.85,1
6.5,71.6,96,100,1192,30.28,63.11,125,1,2.7,1,2,116.7,0
9.6,59.7,119,150,1411,50.35,156.76,157,0,3.7,2,0,114.94,1
12.4,51.2,126,130,1465,38.85,120.96,202,0,3.2,2,0,114.11,1
15.6,42.2,158,170,1583,54.2,138.63,159,0,4.1,1,0,105.78,0
18.4,33.8,161,130,1387,70.29,144.36,152,0,3.6,0,0,120.74,1
19.4,31.3,124,136,1101,64.39,85.03,125,1,2.8,1,0,130.55,0
18,34.8,102,120,850,67.53,134.6,170,0,2,2,0,104.86,1
18.4,33.6,116,160,947,48.33,61.06,145,0,2,0,3,82.63,0
17.6,35.1,124,170,1078,43.62,39.42,140,1,2.5,0,0,202.3,0
16.7,37.8,125,140,1084,59.23,111.86,138,1,2.3,2,1,172.36,0
16.1,41,148,125,1395,58.33,58.37,144,1,3.2,1,1,165.97,0
